,Iters,Depth 3,Depth 5,Depth 10,Depth 15
0,1000,1384.2609517389967,1506.2822185539767,1510.4848522464235,1508.9559713976207
1,2000,2332.510078518166,2566.142261666143,2575.264620172374,2574.392092557929
2,3000,993.4489464711502,1215.4021336254975,1228.2830341932765,1227.3225987814442
3,4000,4266.248212105986,5681.265443266149,5670.488134043523,5669.10530824762
4,5000,1333.7913664919683,1386.679505472468,1480.0068316455404,1479.6825930006928
5,6000,3113.452107100348,3659.758455735089,3652.54654645114,3648.9764369514915
6,7000,2201.41457997571,3337.4808745776627,3409.01304376076,3406.4189914419144
7,8000,1272.460051003521,1492.7281636734187,1498.2790230432665,1497.4394590918084
8,9000,851.4109524393207,903.136527531501,910.8420855750098,910.4178041608309
9,10000,1676.3440833065902,1849.1153431657294,1857.6513103443226,1857.578238536199
